taxon_name,level_1,level_2,ecological_group
abies,Abies,Abies,TRSH
acacia,Acacia,Acacia,TRSH
acanthus,Acanthaceae,Acanthaceae,UPHE
acer,Acer,Acer,TRSH
aconitum_group,Aconitum,Aconitum,UPHE
actaea,Actaea,Actaea,UPHE
adonis,Adonis,Adonis,UPHE
adonis_aestivalis,Adonis,Adonis,UPHE
adonis_aestivalis_type,Adonis,Adonis,UPHE
adonis_type,Adonis,Adonis,UPHE
aellenia_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
aesculus,Aesculus,Aesculus,UPHE
agrimonia,Agrimonia/Aremonia,Agrimonia/Aremonia,UPHE
alchemilla_minus_group,Alchemilla/Aphanes,Alchemilla/Aphanes,UPHE
alchemilla_type,Alchemilla/Aphanes,Alchemilla/Aphanes,UPHE
alhagi,Genista-type,Genista-type,TRSH
alisma,delete,delete,AQVP
allium,Liliaceae-type,Liliaceae-type,UPHE
allium_type,Liliaceae-type,Liliaceae-type,UPHE
allium_vineale_type,Liliaceae-type,Liliaceae-type,UPHE
alnus,Alnus,Alnus,TRSH
amaranthaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amelanchier,Rosaceae (non-operculate),Rosaceae (non-operculate),TRSH
anagallis,Anagallis-type,Anagallis-type,UPHE
anagallis_type,Anagallis-type,Anagallis-type,UPHE
anchusa,Anchusa arvensis-type,Anchusa arvensis-type,UPHE
anchusa_pulmonaria,Boraginaceae,Boraginaceae,UPHE
anchusa_type,Boraginaceae,Boraginaceae,UPHE
androsace,Androsace,Androsace,UPHE
androsace_type,Androsace,Androsace,UPHE
anemone,Ranunculus-type,Ranunculus-type,UPHE
anemone_coronaria,Anemone coronaria,Anemone coronaria,UPHE
anisosciadium_type,Apiaceae,Apiaceae,UPHE
anthericum_type,Liliaceae-type,Liliaceae-type,UPHE
anthriscus_type,Apiaceae,Apiaceae,UPHE
antirrhinum_linaria,Scrophulariaceae (colporate-reticulate),Scrophulariaceae (colporate-reticulate),UPHE
apiaceae,Apiaceae,Apiaceae,UPHE
apium_type,Apiaceae,Apiaceae,UPHE
aquilegia_type,Caltha-type,Caltha-type,UPHE
araceae,Araceae,Araceae,UPHE
arboreal_pollen,delete,delete,delete
