taxon_name,level_1,level_2,ecological_group
abies,Abies,Abies,TRSH
abies_2,Abies,Abies,TRSH
abies_plus_picea,Pinaceae,Pinaceae,TRSH
acacia,Fabaceae (tree),Fabaceae (tree),TRSH
acacia_spp,Fabaceae (tree),Fabaceae (tree),TRSH
acalypha,Acalypha-type,Acalypha-type,UPHE
acalypha_spp,Acalypha-type,Acalypha-type,UPHE
acalypha_type,Acalypha-type,Acalypha-type,UPHE
acanthaceae,Acanthaceae,Acanthaceae,UPHE
accu_model_a,delete,delete,LABO
acer,Acer,Acer,TRSH
acer_campestre_type,Acer,Acer,TRSH
aceraceae,Acer,Acer,TRSH
achillea_type,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
aconitum,Ranunculaceae,Ranunculaceae,UPHE
aconitum_napellus_type,Ranunculaceae,Ranunculaceae,UPHE
aconitum_type,Ranunculaceae,Ranunculaceae,UPHE
aconogonon,Polygonum,Polygonum,UPHE
acorus,delete,delete,AQVP
actinidia,Actinidia,Actinidia,TRSH
actinostemma,Cucurbitaceae,Cucurbitaceae,UPHE
adenophora,Campanulaceae,Campanulaceae,UPHE
adiantum,delete,delete,VACR
adonis_type,Ranunculaceae,Ranunculaceae,UPHE
aegopodium_podagraria,Apiaceae undifferentiated,Apiaceae undifferentiated,UPHE
aerva_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
aesculus,Aesculus,Aesculus,UPHE
aesculus_hippocastanum,Aesculus,Aesculus,TRSH
aesculus_undifferentiated,Aesculus,Aesculus,TRSH
age_kyr,delete,delete,LABO
aglaia,Meliaceae,Meliaceae,TRSH
aglaia_spp,Meliaceae,Meliaceae,TRSH
ailanthus,Ailanthus,Ailanthus,TRSH
aizoaceae,Aizoaceae,Aizoaceae,UPHE
alangium,Alangium,Alangium,TRSH
albizia,Fabaceae (tree),Fabaceae (tree),TRSH
albizzia,Fabaceae (tree),Fabaceae (tree),TRSH
alchemilla,Alchemilla-type,Alchemilla-type,UPHE
alchemilla_type,Alchemilla-type,Alchemilla-type,UPHE
alchornea,Euphorbiaceae (tropical),Euphorbiaceae (tropical),TRSH
alchornea_type,Euphorbiaceae (tropical),Euphorbiaceae (tropical),TRSH
algae,delete,delete,ALGA
algenspore,delete,delete,ALGA
alhagi,Fabaceae,Fabaceae,TRSH
alisma,delete,delete,AQVP
alisma_type,delete,delete,AQVP
alismataceae,delete,delete,AQVP
alismataceae_t,delete,delete,AQVP
alliaceae,Liliaceae s. l.,Liliaceae s. l.,UPHE
allium,Liliaceae s. l.,Liliaceae s. l.,UPHE
allium_type,Liliaceae s. l.,Liliaceae s. l.,UPHE
allium_ursinum_type,Liliaceae s. l.,Liliaceae s. l.,UPHE
allophyllus,Sapindaceae,Sapindaceae,TRSH
allophyllus_spp,Sapindaceae,Sapindaceae,TRSH
alnus,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_baum,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_fruticosa_type,"Alnus, shrub","Alnus, shrub",TRSH
alnus_glutinosa,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_glutinosa_type,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_nepalensis,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_shrub,"Alnus, shrub","Alnus, shrub",TRSH
alnus_sp,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_strauch,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_subg_alnobetula,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_tree,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_undif,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_undiff,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_undifferentiated,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_viridis,"Alnus, shrub","Alnus, shrub",TRSH
alnus_viridis_type,"Alnus, shrub","Alnus, shrub",TRSH
alstonia,Apocynaceae,Apocynaceae,TRSH
alstonia_spp,Apocynaceae,Apocynaceae,TRSH
alternanthera_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
altingia,Hamamelidaceae,Hamamelidaceae,TRSH
aluns,Alnus undifferentiated,Alnus undifferentiated,TRSH
amaranthaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaranthaceae_chenopodiaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaranthaceae_chenopodium_sp,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaranthaceae_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaranthus,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaryllidaceae,Amaryllidaceae,Amaryllidaceae,UPHE
ambrosia,Ambrosia-type,Ambrosia-type,UPHE
ambrosia_type,Ambrosia-type,Ambrosia-type,UPHE
amphitrema,delete,delete,TEAM
anabasis,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
